Transaction_Type,Amount,Initial_Balance_Sender,Initial_Balance_Receiver,Final_Balance_Sender,Final_Balance_Receiver,Fraud
Cash-In,0.96,4688.72,1494.64,4688.72,1495.7,1
Debit,24637.77,13856.37,4707.86,0.0,4707.86,1
Payment,18610.6,4820.08,4452.25,1855.44,24923.91,1
Debit,890.33,16926.75,17387.1,16036.42,17387.1,0
Cash-In,43387.68,9531.87,4707.87,9531.87,52434.32,1
Cash-In,1901.52,1376.96,17417.25,1376.96,19318.77,0
Debit,777.03,246.04,9337.05,0.0,9337.05,0
Debit,855.64,4848.09,7651.97,3992.45,7651.97,0
Cash-In,20450.1,18248.28,18380.88,18248.28,40875.99,1
Transfer,43506.25,18569.15,10269.96,0.0,58126.84,1
Cash-In,19208.7,6246.26,12207.74,6246.26,33337.31,1
Payment,38814.36,1229.92,5761.56,0.72,48457.36,1
Debit,481.06,12465.86,16461.08,11984.8,16461.08,0
Payment,27754.23,9808.06,9977.62,0.0,40507.27,1
Cash-Out,1645.56,3525.69,896.37,1880.13,896.37,0
Cash-In,14796.79,15148.03,7437.31,15148.03,23713.78,1
Cash-In,0.29,6678.2,19402.27,6678.2,19402.59,1
Transfer,0.86,7707.41,17502.45,7026.46,17503.4,1
Cash-Out,1193.44,9222.07,19.42,8028.63,19.42,0
Cash-Out,240.9,13411.73,4958.85,13170.83,4958.85,0
Cash-Out,571.6,3097.65,2695.79,2526.05,2695.79,0
Cash-In,2841.04,7373.75,16028.58,7373.75,18869.62,0
Transfer,2749.46,14311.85,9567.75,11562.39,12317.21,0
Cash-In,33899.88,4292.44,6633.85,4292.44,43923.72,1
Transfer,32812.51,13543.7,125.16,0.0,36218.92,1
Transfer,43365.61,3973.64,10236.98,3765.9,57939.15,1
Debit,642.12,16742.92,14589.34,16100.8,14589.34,0
Payment,268.84,1181.73,13703.19,912.89,13972.03,0
Debit,0.74,12041.44,6027.22,12040.55,6027.22,1
Debit,125.29,16147.68,4355.63,16022.39,4355.63,0
Transfer,1985.84,3675.4,18423.87,1689.56,20409.71,0
Transfer,0.76,4250.73,18006.08,4249.82,18006.92,1
Debit,597.72,10779.82,4428.15,10182.1,4428.15,0
Cash-Out,0.39,9001.95,8307.82,8552.33,8307.82,1
Debit,39030.91,12237.71,263.86,790.35,263.86,1
Cash-Out,1830.79,7643.63,2617.83,5812.84,2617.83,0
Payment,933.67,4320.37,11120.69,3386.7,12054.36,0
Payment,560.4,17516.89,1086.45,16956.49,1646.85,0
Cash-In,0.79,13174.47,19219.64,13174.47,19220.51,1
Transfer,21598.38,2071.11,3659.14,0.0,27417.36,1
Cash-In,21993.7,4950.14,964.55,4950.14,25157.62,1
Cash-In,39073.11,12726.73,8636.92,12726.73,51617.34,1
Transfer,2814.12,2655.72,2204.09,0.0,5018.21,0
Debit,358.76,7952.21,3297.84,7593.45,3297.84,0
Payment,149.72,13146.05,16696.38,12996.33,16846.1,0
Payment,971.61,2187.41,16075.68,1215.8,17047.29,0
Cash-In,27522.82,8904.25,9387.24,8904.25,39662.34,1
Payment,881.19,17395.16,8239.9,16513.97,9121.09,0
Cash-Out,733.14,9302.86,12772.87,8569.72,12772.87,0
Cash-In,41304.68,17298.91,14395.03,17298.91,59830.18,1
Debit,442.34,9785.19,19369.87,9342.85,19369.87,0
Cash-In,1773.82,18345.48,5237.73,18345.48,7011.55,0
Cash-In,2592.04,7919.98,11796.8,7919.98,14388.84,0
Cash-Out,1436.21,14110.65,9899.93,12674.44,9899.93,0
Cash-In,28398.56,13561.54,11992.86,13561.54,43231.28,1
Payment,157.43,5984.57,14040.78,5827.14,14198.21,0
Cash-Out,220.01,43.3,13322.34,0.0,13322.34,0
Cash-In,40243.67,6042.55,18139.74,6042.55,62407.78,1
Debit,630.95,18086.49,7890.13,17455.54,7890.13,0
Transfer,578.78,2512.38,6793.18,1933.6,7371.96,0
Cash-In,0.24,5723.37,12361.57,5723.37,12361.83,1
Cash-Out,22344.16,3074.05,393.14,1518.25,393.14,1
Transfer,1672.03,19457.41,18062.75,17785.38,19734.78,0
Debit,17692.17,3078.53,19812.34,2935.14,19812.34,1
Debit,17761.41,16927.28,7821.75,0.0,7821.75,1
Transfer,0.14,6540.27,194.25,6540.1,194.4,1
Transfer,1271.58,7552.59,18032.11,6281.01,19303.69,0
Payment,20766.98,7199.5,15213.16,0.0,38056.84,1
Cash-In,2846.46,3076.14,14318.47,3076.14,17164.93,0
Transfer,1869.0,8668.3,15371.75,6799.3,17240.75,0
Payment,240.24,16216.98,19529.94,15976.74,19770.18,0
Cash-In,36861.83,16494.9,13309.8,16494.9,53857.81,1
Payment,41486.08,11181.45,10656.19,8995.42,56290.88,1
Payment,86.03,3201.82,15447.89,3115.79,15533.92,0
Payment,625.36,11396.73,843.8,10771.37,1469.16,0
Payment,972.77,16499.18,16406.56,15526.41,17379.33,0
Cash-In,2736.51,9763.27,15726.14,9763.27,18462.65,0
Transfer,3076.5,14580.84,9293.26,11504.34,12369.76,0
Transfer,3529.1,18431.97,12682.26,14902.87,16211.36,0
Cash-Out,1764.15,18724.3,13552.81,16960.15,13552.81,0
Transfer,3231.72,1972.59,18214.34,0.0,21446.06,0
Cash-Out,21245.38,8078.53,14150.76,0.0,14150.76,1
Debit,51.83,17021.27,10992.89,16969.74,10993.2,0
Transfer,350.86,5853.17,6572.55,5502.31,6923.41,0
Debit,0.02,464.23,19583.53,409.0,19583.53,1
Cash-In,29142.13,17369.63,8236.68,17369.63,40293.02,1
Transfer,25258.86,17558.97,17982.4,17476.48,45767.15,1
Transfer,3078.94,18812.87,15049.11,15733.93,18128.05,0
Transfer,30698.29,15318.66,40.64,7449.77,33808.76,1
Cash-In,27964.8,1374.15,636.02,1374.15,31397.3,1
Cash-In,34.16,2054.57,7917.0,2054.57,7951.16,0
Transfer,2825.1,16879.38,3900.93,14054.28,6726.03,0
Transfer,7680.29,4517.98,14932.28,601.37,23380.6,1
Debit,658.96,3144.05,15043.29,2485.09,15043.29,0
Cash-In,1914.44,16820.73,18248.44,16820.73,20162.88,0
Cash-Out,0.94,18280.14,1795.96,18279.01,1795.96,1
Payment,499.79,5672.24,15994.05,5172.45,16493.84,0
Transfer,4432.78,19336.74,16730.37,14903.96,21163.15,0
Cash-In,724.24,10545.41,14498.56,10545.41,15222.8,0
Debit,825.96,12631.65,16625.29,11805.69,16625.29,0
Debit,37611.63,13866.9,9712.4,0.0,9712.4,1
Debit,44534.84,8899.2,13660.46,6160.0,13660.46,1
Cash-In,14731.09,6546.6,4129.14,6546.6,20333.34,1
Payment,345.28,16287.53,9201.95,15942.25,9547.23,0
Transfer,32076.78,8701.43,9018.8,0.0,44303.26,1
Debit,874.5,2861.17,5520.33,1986.67,5520.33,0
Transfer,31993.81,6305.79,17559.88,0.0,52753.07,1
Cash-Out,49115.98,3318.78,6583.96,0.0,6583.96,1
Debit,839.43,19717.79,9318.27,18878.36,9318.27,0
Payment,905.1,2146.95,14528.78,1241.85,15433.88,0
Transfer,321.3,12134.07,7842.1,11812.77,8163.4,0
Debit,41524.94,16007.26,1951.3,6123.44,1951.3,1
Debit,7578.17,15315.55,228.75,6221.75,228.75,1
Debit,982.81,19110.13,6422.14,18127.32,6422.14,0
Transfer,3861.34,425.22,5091.07,0.0,8952.41,0
Cash-In,1944.16,19293.31,4541.69,19293.31,6485.85,0
Transfer,43859.41,8782.61,7162.14,8521.93,55407.49,1
Transfer,371.43,16886.55,8078.09,16515.12,8449.52,0
Transfer,2764.81,1698.86,13868.28,0.0,16633.09,0
Payment,419.83,2807.62,5350.27,2387.79,5770.1,0
Transfer,1855.21,6985.24,343.22,5130.03,2198.43,0
Cash-In,2524.08,698.58,10404.18,698.58,12928.26,0
Debit,592.72,1249.07,6277.13,656.35,6277.13,0
Transfer,4561.5,531.36,19774.76,0.0,24336.26,0
Cash-In,36639.92,15893.04,18938.69,15893.04,59242.6,1
Debit,43785.95,5546.39,18387.11,0.0,18387.11,1
Cash-Out,1012.86,19817.09,6690.58,18804.23,6690.58,0
Cash-Out,41215.8,8975.2,5049.32,0.0,5049.32,1
Payment,0.26,10110.43,6172.8,2166.3,6173.09,1
Cash-In,0.36,4087.29,10950.01,4087.29,10950.41,1
Cash-In,2209.2,18017.13,15680.61,18017.13,17889.81,0
Transfer,3883.29,372.36,3791.73,0.0,7675.02,0
Cash-In,867.61,13981.92,11129.69,13981.92,11997.3,0
Cash-In,2141.0,3500.87,15958.03,3500.87,18099.03,0
Cash-Out,18318.37,9153.01,8530.21,8615.26,8530.21,1
Cash-In,2703.84,5579.13,1870.7,5579.13,4574.54,0
Payment,30.79,14241.06,12689.26,14210.27,12720.05,0
Payment,315.62,18321.22,10268.29,18005.6,10583.91,0
Payment,822.98,6986.15,16519.83,6163.17,17342.81,0
Cash-Out,224.76,17031.4,15552.26,16806.64,15552.26,0
Debit,26873.34,6114.09,15426.24,0.0,15426.24,1
Payment,160.39,5094.39,10514.77,4934.0,10675.16,0
Debit,0.02,3367.82,11385.73,2872.14,11385.73,1
Payment,12070.24,12179.83,9849.73,7928.93,23126.99,1
Transfer,2764.25,18507.34,18148.09,15743.09,20912.34,0
Transfer,490.44,13215.03,10775.68,12724.59,11266.12,0
Debit,485.39,2678.03,15447.16,2192.64,15447.16,0
Debit,0.25,7258.15,10740.69,6258.93,10740.69,1
Payment,345.54,7509.5,12646.69,7163.96,12992.23,0
Payment,41483.19,15449.03,18110.23,5539.59,63741.74,1
Payment,47189.54,14203.73,4571.41,0.0,56479.9,1
Debit,221.09,7772.9,7043.26,7551.81,7043.26,0
Payment,328.4,10939.22,18819.58,10610.82,19147.98,0
Transfer,19071.65,15537.28,16735.51,0.0,37714.33,1
Debit,0.56,5444.73,8773.13,5444.06,8773.13,1
Cash-In,1879.44,6788.45,14545.18,6788.45,16424.62,0
Cash-Out,1624.52,19051.35,15301.72,17426.83,15301.72,0
Transfer,37373.92,2145.17,3391.74,326.54,44503.05,1
Cash-In,1140.19,17211.79,11319.46,17211.79,12459.65,0
Transfer,1158.84,8403.3,732.37,7244.46,1891.21,0
Payment,37649.94,11160.0,9317.36,10499.09,50732.29,1
Cash-In,43537.97,15903.05,5529.69,15903.05,53421.46,1
Debit,593.58,14691.0,17213.19,14097.42,17213.19,0
Payment,742.64,19352.95,372.23,18610.31,1114.87,0
Debit,516.23,12157.77,17329.49,11641.54,17329.49,0
Cash-In,1128.42,6481.0,6287.72,6481.0,7416.14,0
Cash-In,2566.67,11193.02,2448.37,11193.02,5015.04,0
Cash-In,0.75,3341.64,5921.11,3341.64,5921.94,1
Debit,556.36,19743.4,8315.61,19187.04,8315.61,0
Transfer,2210.67,8568.97,1568.0,6358.3,3778.67,0
Cash-Out,1211.7,648.2,5180.76,0.0,5180.76,0
Transfer,387.08,14333.07,2969.22,13945.99,3356.3,0
Debit,963.34,4846.83,5984.21,3883.49,5984.21,0
Debit,0.84,19538.54,7887.43,19537.53,7887.43,1
Cash-In,0.81,7748.36,3031.72,7748.36,3032.61,1
Cash-Out,29137.52,18607.53,14237.23,705.31,14237.23,1
Transfer,0.68,17195.58,19022.61,17194.76,19023.36,1
Debit,382.9,9262.17,19511.42,8879.27,19511.42,0
Cash-Out,1745.66,16219.19,13513.76,14473.53,13513.76,0
Cash-Out,34808.96,6814.17,3300.06,2619.98,3300.06,1
Cash-In,58.64,8787.96,8671.72,8787.96,8730.36,0
Cash-In,1058.88,7799.21,16478.75,7799.21,17537.63,0
Cash-In,0.92,12673.3,6031.27,12673.3,6032.28,1
Payment,411.86,634.5,4656.56,222.64,5068.42,0
Debit,26714.35,13547.55,1761.83,2519.99,1761.83,1
Cash-In,2411.49,14537.8,8258.3,14537.8,10669.79,0
Transfer,3985.77,7370.96,17413.13,3385.19,21398.9,0
Debit,36481.11,5472.84,307.83,0.0,307.83,1
Cash-Out,8427.3,13201.18,8057.64,3088.42,8057.64,1
Debit,42668.43,5475.36,762.68,0.0,762.68,1
Cash-In,266.43,1340.06,3531.76,1340.06,3798.19,0
Transfer,4509.45,16713.71,17986.98,12204.26,22496.43,0
Cash-Out,192.34,8485.58,7796.76,8293.24,7796.76,0
Cash-In,600.4,10468.32,770.87,10468.32,1371.27,0
Transfer,36243.29,511.06,11296.83,0.0,51164.45,1
Debit,190.61,4706.7,15290.88,4516.09,15290.88,0
Transfer,15526.56,18375.18,6330.21,9031.38,23409.43,1
Debit,426.96,12079.8,1283.16,11652.84,1283.16,0
Payment,26562.51,15284.19,12712.88,0.0,41931.64,1
Transfer,22422.37,573.89,218.5,0.0,24883.11,1
Payment,14719.57,14120.04,19660.23,5728.42,35851.76,1
Cash-Out,44859.5,7118.25,15870.29,0.0,15870.29,1
Cash-In,0.46,2022.32,12681.49,2022.32,12682.0,1
Cash-In,17622.41,8769.74,5039.87,8769.74,24424.52,1
Cash-In,1647.91,6546.07,15506.49,6546.07,17154.4,0
Debit,898.32,2662.21,14064.23,1763.89,14064.23,0
Cash-Out,1777.12,18424.57,12710.04,16647.45,12710.04,0
Debit,702.73,321.48,2801.3,0.0,2801.3,0
Payment,23.69,1456.6,18969.1,1432.91,18992.79,0
Debit,0.95,16886.48,4856.38,16885.34,4856.38,1
Cash-In,989.23,11063.44,14444.44,11063.44,15433.67,0
Cash-In,268.76,391.92,18962.41,391.92,19231.17,0
Debit,0.78,8565.41,13624.99,5909.22,13624.99,1
Debit,15.85,13415.09,13656.32,13399.24,13656.32,0
Cash-In,1006.62,15515.31,15396.09,15515.31,16402.71,0
Cash-Out,18263.95,5357.28,9313.24,1916.12,9313.24,1
Payment,601.23,14373.11,3279.99,13771.88,3881.22,0
Debit,33529.01,1690.22,6823.89,1077.2,6823.89,1
Cash-Out,0.83,4787.19,16224.16,3975.99,16224.16,1
Cash-Out,590.29,9110.0,1574.53,8519.71,1574.53,0
Debit,430.19,9891.61,2086.7,9461.42,2086.7,0
Transfer,1297.08,4478.85,11568.48,3181.77,12865.56,0
Payment,0.31,7857.73,15616.63,7857.36,15616.97,1
Payment,26970.13,6914.75,6265.56,4277.63,35932.7,1
Payment,810.13,2760.75,18879.15,1950.62,19689.28,0
Debit,949.52,3698.04,12216.1,2748.52,12216.1,0
Transfer,25792.56,19054.71,6668.52,12331.73,35040.34,1
Payment,414.88,4848.0,14033.35,4433.12,14448.23,0
Transfer,0.46,12673.75,10477.35,12673.2,10477.86,1
Payment,269.68,17094.09,9377.39,16824.41,9647.07,0
Payment,323.9,17422.83,7843.39,17098.93,8167.29,0
Cash-Out,617.36,16632.26,9632.86,16014.9,9632.86,0
Debit,409.97,1394.4,5462.85,984.43,5462.85,0
Debit,274.21,2331.07,4888.93,2056.86,4888.93,0
Cash-In,884.94,4542.67,3741.97,4542.67,4626.91,0
Cash-Out,1752.69,1867.17,9056.79,114.48,9056.79,0
Cash-Out,174.13,19531.02,5424.9,19356.89,5424.9,0
Payment,203.03,18733.92,14831.2,18530.89,15034.23,0
Cash-Out,47365.65,12137.95,1043.52,3764.27,1043.52,1
Cash-Out,16710.82,9286.91,15308.45,0.0,15308.45,1
Transfer,2655.77,14067.83,12223.82,11412.06,14879.59,0
Cash-Out,0.62,5209.21,14505.53,5208.47,14505.53,1
Transfer,16521.37,11148.5,19144.64,2865.14,37318.15,1
Payment,14994.61,2430.32,8150.44,0.0,24644.51,1
Cash-Out,500.83,14839.17,5425.86,14338.34,5425.86,0
Transfer,677.66,12793.96,18165.23,12116.3,18842.89,0
Cash-Out,17766.4,17898.3,17860.23,0.0,17860.23,1
Cash-In,526.89,14025.24,17290.31,14025.24,17817.2,0
Cash-In,0.97,10141.99,16498.44,10141.99,16499.51,1
Cash-Out,656.48,576.69,18711.98,0.0,18711.98,0
Cash-Out,0.45,16110.81,1829.27,16110.27,1829.27,1
Transfer,1276.74,14333.83,19930.5,13057.09,21207.24,0
Cash-In,2536.27,17105.9,17158.07,17105.9,19694.34,0
Debit,0.12,8769.66,6208.72,8769.52,6208.72,1
Debit,5875.18,19158.09,7104.97,12107.87,7104.97,1
Debit,882.05,1051.51,10098.92,169.46,10098.92,0
Payment,693.2,12243.88,15623.3,11550.68,16316.5,0
Payment,203.83,6142.29,2805.04,5938.46,3008.87,0
Cash-Out,805.53,15378.93,18181.7,14573.4,18181.7,0
Payment,297.75,8816.14,14585.57,8518.39,14883.32,0
Debit,25644.87,4746.36,15661.08,3256.02,15661.08,1
Cash-Out,734.65,12791.58,16078.15,12056.93,16078.15,0
Cash-Out,1564.16,19358.21,13416.32,17794.05,13416.32,0
Transfer,0.18,12562.0,15736.49,12157.31,15736.69,1
Cash-Out,0.11,13249.46,456.27,8238.05,456.27,1
Transfer,2407.66,17023.63,4991.02,14615.97,7398.68,0
Payment,454.82,16267.86,11354.76,15813.04,11809.58,0
Payment,412.92,13508.01,10523.91,13095.09,10936.83,0
Transfer,494.1,13790.18,8824.19,13296.08,9318.29,0
Transfer,37421.53,9890.76,1089.73,0.0,42253.41,1
Cash-Out,379.64,19377.59,211.51,18997.95,211.51,0
Debit,32926.14,12536.93,5716.96,11788.06,5716.96,1
Payment,612.83,17888.23,17975.41,17275.4,18588.24,0
Cash-In,0.81,216.25,3352.93,216.25,3353.82,1
Transfer,0.64,17956.76,2514.11,12447.88,2514.81,1
Cash-In,1427.51,120.47,1514.38,120.47,2941.89,0
Payment,0.69,3746.53,1535.11,3745.7,1535.87,1
Debit,23447.62,10424.05,19364.49,0.0,19364.49,1
Transfer,40369.01,19113.29,14852.31,3959.86,59258.22,1
Transfer,389.33,11313.14,15684.57,10923.81,16073.9,0
Cash-In,2505.51,2388.16,4569.39,2388.16,7074.9,0
Payment,144.59,11540.32,4556.09,11395.73,4700.68,0
Cash-Out,1234.99,9593.37,1771.03,8358.38,1771.03,0
Cash-Out,1478.27,14461.83,15029.9,12983.56,15029.9,0
Cash-In,2857.21,9260.12,17094.4,9260.12,19951.61,0
Payment,28.31,6766.67,685.88,6738.36,714.19,0
Debit,644.27,9396.85,7494.5,8752.58,7494.5,0
Transfer,2446.1,16995.01,12639.21,14548.91,15085.31,0
Cash-Out,33115.02,10431.13,8024.57,4861.64,8024.57,1
Cash-Out,820.76,1788.48,17233.31,967.72,17233.31,0
Transfer,4237.84,8547.56,16135.75,4309.72,20373.59,0
Payment,28642.28,6369.72,17597.63,4791.01,49104.14,1
Cash-In,512.58,1244.98,14322.59,1244.98,14835.17,0
Payment,479.45,1374.9,11991.52,895.45,12470.97,0
Cash-In,1053.72,6263.68,16466.97,6263.68,17520.69,0
Debit,18557.53,12603.94,119.47,1343.74,119.47,1
Cash-Out,752.46,11429.88,14054.49,10677.42,14054.49,0
Debit,373.69,138.67,18572.66,0.0,18572.66,0
Payment,413.81,9401.33,7880.19,8987.52,8294.0,0
Cash-In,1512.74,12336.28,11774.4,12336.28,13287.14,0
Cash-Out,1650.1,5815.74,14185.29,4165.64,14185.29,0
Cash-Out,799.59,15476.73,16968.66,14677.14,16968.66,0
Payment,997.15,4097.44,18212.08,3100.29,19209.23,0
Debit,965.52,4070.63,19944.45,3105.11,19944.45,0
Transfer,0.09,14231.54,12064.03,11264.67,12064.13,1
Payment,703.78,18817.73,13235.72,18113.95,13939.5,0
Payment,0.18,12884.26,1196.0,8260.06,1196.2,1
Cash-Out,0.6,5975.82,7449.62,281.16,7449.62,1
Transfer,16038.49,2153.62,704.35,0.0,18346.69,1
Payment,0.05,931.23,4271.8,931.17,4271.86,1
Cash-Out,757.1,13129.5,12407.96,12372.4,12407.96,0
Cash-In,2475.97,3987.8,18375.49,3987.8,20851.46,0
Payment,88.25,12776.2,13836.52,12687.95,13924.77,0
Transfer,0.1,2254.18,855.25,1481.43,855.36,1
Debit,0.3,1293.5,15128.49,1293.14,15128.49,1
Transfer,4568.67,1682.7,2343.07,0.0,6911.74,0
Payment,30473.61,18566.18,17315.95,9078.35,50836.92,1
Debit,234.4,12203.7,18524.4,11969.3,18524.4,0
Cash-In,11193.84,755.58,9412.47,755.58,21725.69,1
Cash-In,14274.69,19392.18,17896.75,19392.18,33598.91,1
Cash-Out,22484.95,14349.33,9075.53,0.0,9075.53,1
Cash-Out,752.51,12975.1,17554.52,12222.59,17554.52,0
Cash-In,0.61,5026.36,16712.82,5026.36,16713.49,1
Payment,743.59,6961.12,7955.59,6217.53,8699.18,0
Cash-In,2107.63,615.3,15783.94,615.3,17891.57,0
Cash-Out,19824.7,6841.51,3387.57,0.0,3387.57,1
Payment,19862.74,5326.12,10748.01,0.0,32597.02,1
Payment,0.86,10199.18,5571.14,10198.15,5572.09,1
Debit,11265.24,6132.89,14084.04,1655.41,14084.04,1
Payment,184.04,12920.09,10715.31,12736.05,10899.35,0
Cash-In,1432.2,665.51,7962.56,665.51,9394.76,0
Debit,521.86,7020.21,11657.89,6498.35,11657.89,0
Cash-Out,35021.58,2803.41,15454.58,2800.98,15454.58,1
Cash-Out,364.05,3149.26,16382.01,2785.21,16382.01,0
Debit,25573.73,2896.27,2210.22,0.0,2210.22,1
Payment,17.29,4898.65,5752.53,4881.36,5769.82,0
Payment,38130.42,19548.17,10468.8,2069.78,52412.26,1
Cash-Out,5573.78,393.52,6055.12,351.16,6055.12,1
Cash-In,47683.8,13297.36,19631.25,13297.36,72083.43,1
Payment,399.99,7522.47,8976.61,7122.48,9376.6,0
Debit,997.78,14264.91,7814.84,13267.13,7814.84,0
Debit,882.81,10445.14,18855.11,9562.33,18855.11,0
Cash-Out,1892.72,7294.43,19961.32,5401.71,19961.32,0
Transfer,29973.14,11441.71,11011.82,0.0,43982.27,1
Cash-In,1321.86,9738.26,11183.72,9738.26,12505.58,0
Cash-Out,1201.13,19958.0,12589.29,18756.87,12589.29,0
Cash-In,2873.29,5767.81,19539.42,5767.81,22412.71,0
Cash-In,2125.82,7006.37,15274.18,7006.37,17400.0,0
Debit,298.4,8049.67,2161.0,7751.27,2161.0,0
Transfer,21461.9,15700.1,5805.46,7498.43,29413.55,1
Payment,391.84,17699.51,17165.26,17307.67,17557.1,0
Payment,47635.32,18175.72,12088.25,0.0,64487.1,1
Transfer,2749.97,860.11,1397.98,0.0,4147.95,0
Transfer,43524.73,7248.93,8474.41,631.12,56351.61,1
Cash-In,2403.88,4470.11,1210.27,4470.11,3614.15,0
Cash-In,983.51,7045.81,1842.58,7045.81,2826.09,0
Cash-In,30350.98,2832.81,10809.87,2832.81,44195.95,1
Payment,61.2,2909.38,17154.71,2848.18,17215.91,0
Cash-Out,1289.68,4672.82,208.14,3383.14,208.14,0
Debit,38.18,19299.79,6378.62,19261.61,6378.62,0
Transfer,41562.46,2429.38,16203.5,0.0,61922.21,1
Payment,877.92,11758.92,6886.1,10881.0,7764.02,0
Debit,773.7,10679.88,1060.09,9906.18,1060.09,0
Payment,244.0,13205.12,10075.22,12961.12,10319.22,0
Transfer,48963.49,19279.87,3469.79,0.0,57329.63,1
Transfer,25176.74,5514.78,9942.58,3441.67,37636.99,1
Payment,600.94,4120.22,13613.46,3519.28,14214.4,0
Transfer,3936.35,7950.28,2265.02,4013.93,6201.37,0
Payment,151.32,16741.33,17955.43,16590.01,18106.75,0
Cash-In,1249.09,19779.45,12212.55,19779.45,13461.64,0
Debit,0.26,6581.46,16809.01,2560.06,16809.01,1
Cash-Out,14790.77,18069.21,19433.67,11816.25,19433.67,1
Cash-In,1862.37,11767.11,8261.18,11767.11,10123.55,0
Payment,521.28,17391.71,7491.44,16870.43,8012.72,0
Cash-In,2163.29,13689.79,9046.2,13689.79,11209.49,0
Payment,28026.39,1927.22,13582.36,0.0,44411.39,1
Transfer,3402.55,16173.06,4829.46,12770.51,8232.01,0
Payment,30416.69,8631.73,19170.06,0.0,52628.42,1
Payment,6755.97,6725.47,6627.41,3042.62,14058.98,1
Debit,554.72,17355.83,9354.29,16801.11,9354.29,0
Cash-Out,0.47,388.96,18670.24,47.4,18670.24,1
Transfer,2174.28,1627.68,5941.34,0.0,8115.62,0
Payment,40796.87,13230.13,5524.93,0.0,50401.49,1
Payment,424.53,10087.83,18740.42,9663.3,19164.95,0
Debit,255.78,17889.26,5405.3,17633.48,5405.3,0
Cash-In,1235.85,3899.09,10171.48,3899.09,11407.33,0
Debit,378.01,2520.47,17246.33,2142.46,17246.33,0
Payment,991.84,11349.78,1450.93,10357.94,2442.77,0
Transfer,4757.23,14769.28,19282.09,10012.05,24039.32,0
Transfer,33554.47,10289.42,763.08,0.0,37673.0,1
Cash-In,1126.03,4986.83,9849.35,4986.83,10975.38,0
Payment,509.34,12654.9,19573.87,12145.56,20083.21,0
Debit,0.5,778.63,2135.87,76.24,2135.87,1
Cash-Out,443.99,16816.84,9093.0,16372.85,9093.0,0
Debit,32070.75,16960.06,4371.78,14411.37,4371.78,1
Payment,340.93,14515.18,15735.51,14174.25,16076.44,0
Payment,22702.24,19907.66,11587.97,0.0,36560.43,1
Debit,13479.96,19076.86,3568.34,2900.91,3568.34,1
Transfer,2570.48,4670.44,10411.38,2099.96,12981.86,0
Payment,890.48,13605.69,10967.75,12715.21,11858.23,0
Cash-Out,1884.57,17069.02,18565.59,15184.45,18565.59,0
Payment,800.54,8144.14,12048.88,7343.6,12849.42,0
Transfer,386.52,14718.51,8164.36,14331.99,8550.88,0
Transfer,626.91,14117.29,19862.1,13490.38,20489.01,0
Payment,410.69,14870.51,9612.57,14459.82,10023.26,0
Cash-In,2677.92,15527.18,9292.89,15527.18,11970.81,0
Transfer,1507.56,16307.44,9973.37,14799.88,11480.93,0
Debit,455.25,18790.97,19148.76,18335.72,19148.76,0
Cash-In,41.46,15458.97,16377.78,15458.97,16419.24,0
Debit,717.25,17034.84,9063.29,16317.59,9063.29,0
Transfer,16583.14,440.64,13775.49,0.0,32016.94,1
Transfer,44052.72,16359.99,78.43,0.0,48536.42,1
Cash-Out,1708.43,15230.21,19505.72,13521.78,19505.72,0
Cash-In,1211.26,13008.91,1172.86,13008.91,2384.12,0
Cash-Out,0.09,3855.78,4291.38,2317.65,4291.38,1
Debit,0.21,6695.18,14571.85,6694.93,14571.85,1
Debit,43214.5,16429.78,11091.12,0.0,11091.12,1
Payment,224.94,4529.84,7213.29,4304.9,7438.23,0
Transfer,3240.49,6872.66,4101.11,3632.17,7341.6,0
Cash-Out,1900.72,18619.91,2999.48,16719.19,2999.48,0
Debit,515.79,3739.39,6890.88,3223.6,6890.88,0
Payment,124.05,18976.9,5365.29,18852.85,5489.34,0
Cash-Out,688.79,19782.29,12451.11,19093.5,12451.11,0
Payment,779.64,7055.38,18307.14,6275.74,19086.78,0
Cash-Out,1538.61,5986.31,8541.42,4447.7,8541.42,0
Payment,838.0,1215.35,6420.15,377.35,7258.15,0
Debit,34456.98,7238.06,2697.13,0.0,2697.13,1
Cash-In,19109.98,7220.1,12780.36,7220.1,33801.34,1
Debit,692.14,3432.9,9610.8,2740.76,9610.8,0
Transfer,4796.22,16451.55,13472.12,11655.33,18268.34,0
Payment,273.61,2996.16,14027.25,2722.55,14300.86,0
Debit,48842.87,245.69,9142.57,0.0,9142.57,1
Transfer,22757.37,7276.86,12746.61,904.67,37779.72,1
Debit,0.08,11433.6,6406.64,2036.96,6406.64,1
Cash-Out,29378.9,10659.73,19446.22,0.0,19446.22,1
Transfer,0.54,7915.08,14064.45,5141.24,14065.04,1
Transfer,4193.2,7347.93,7190.11,3154.73,11383.31,0
Debit,650.45,8430.55,588.08,7780.1,588.08,0
Payment,211.85,15239.62,17730.03,15027.77,17941.88,0
Transfer,2423.94,5664.59,10517.33,3240.65,12941.27,0
Payment,35615.04,1273.24,12654.04,0.0,51830.58,1
Debit,361.26,13086.44,17214.74,12725.18,17214.74,0
Payment,177.51,10494.19,19873.15,10316.68,20050.66,0
Payment,781.84,15111.99,15922.6,14330.15,16704.44,0
Debit,5133.36,12310.61,7432.01,6150.58,7432.01,1
Payment,838.86,13160.97,3401.02,12322.11,4239.88,0
